message,intent,source_intent
I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,card_not_received,card_arrival
Can I track the card that you sent me in the mail?,card_not_received,card_arrival
Is there a way to track my card?,card_not_received,card_arrival
Does the package with my card have tracking?,card_not_received,card_arrival
Is there a way to track the delivery of my card?,card_not_received,card_arrival
I thought I would have received my new card at this point.,card_not_received,card_arrival
Can you tell me if I can track the card you sent me?,card_not_received,card_arrival
Can I track my card while it is in the process of delivery?,card_not_received,card_arrival
How do I know when my new card is going to arrive?,card_not_received,card_arrival
I haven't received my card and am worried it is lost.,card_not_received,card_arrival
How can I see the progress of delivery of the card that was sent?,card_not_received,card_arrival
I need to track the card sent to me.,card_not_received,card_arrival
Do you have info about the card on delivery?,card_not_received,card_arrival
Is my new bank card on the way and is there a way to track it?,card_not_received,card_arrival
can you share card tracking number?,card_not_received,card_arrival
I have been waiting over a week. Is the card still coming?,card_not_received,card_arrival
Can I track the card you sent to me?,card_not_received,card_arrival
How can I periodically check the delivery of the card you sent?,card_not_received,card_arrival
I haven't received my card.,card_not_received,card_arrival
"A card has been sent to me, how do I track it?",card_not_received,card_arrival
My card has not come in the mail yet.,card_not_received,card_arrival
Is my card lost? I am still waiting for it to be delivered.,card_not_received,card_arrival
Why haven't I gotten my new card?,card_not_received,card_arrival
I am still waiting for my card.,card_not_received,card_arrival
"My card still hasn't arrived after two weeks, now what?",card_not_received,card_arrival
maximum how many days get the courier?,card_not_received,card_arrival
I want to find out what happened to my new card?,card_not_received,card_arrival
I'm still waiting for my card.,card_not_received,card_arrival
Where is my credit card that was to be mailed?,card_not_received,card_arrival
How much longer until I get my new card?,card_not_received,card_arrival
I know I'm getting a new card but would like know when I can expect to receive it.,card_not_received,card_arrival
Can I track when my card will be delivered?,card_not_received,card_arrival
Can you tell me why I haven't received my new card yet?,card_not_received,card_arrival
What is the status of my card's delivery?,card_not_received,card_arrival
I don't have my card after 1 week. What are my next steps?,card_not_received,card_arrival
How much longer is it going to take to get my new card?,card_not_received,card_arrival
How long will it be to get this new card?,card_not_received,card_arrival
What's the tracking on the card you sent?,card_not_received,card_arrival
"I was supposed to receive my new card by now, but it hasn't came in.",card_not_received,card_arrival
What can I do if my card still hasn't arrived after 2 weeks?,card_not_received,card_arrival
What can I do to track the card you sent me?,card_not_received,card_arrival
how can i track card you sent,card_not_received,card_arrival
When will my new card arrive?,card_not_received,card_arrival
Is there a tracking number for the card?,card_not_received,card_arrival
How do I track the card you sent to me?,card_not_received,card_arrival
Where is my card?,card_not_received,card_arrival
I ordered a card and would like to know how to track the delivery progress of it.,card_not_received,card_arrival
What's the card you sent me's tracking number?,card_not_received,card_arrival
My card never arrived.,card_not_received,card_arrival
"On the card that is coming, what's the tracking info?",card_not_received,card_arrival
What's the expected wait time to recieve my new card?,card_not_received,card_arrival
My card hasn't came in the mail yet?,card_not_received,card_arrival
Someone called me asking for my OTP and said they are from the bank.,fraud_alert,project_support_example
I shared my OTP with a suspicious caller and I think my account is at risk.,fraud_alert,project_support_example
There is an unknown transaction and I suspect fraud on my card.,fraud_alert,project_support_example
My account is blocked after I entered the wrong password three times.,account_blocked,project_support_example
I cannot login because my account has been locked.,account_blocked,project_support_example
The banking app says my account is temporarily blocked.,account_blocked,project_support_example
What are your working hours?,general_inquiry,project_support_example
How can I contact customer support?,general_inquiry,project_support_example
I want to know the bank hotline number.,general_inquiry,project_support_example
